country,band,value,year
Honduras,2100,0,2016
Honduras,2300,0,2016
Honduras,2600,0,2016
Honduras,3400,0,2016
Honduras,3600,0,2016
Hong Kong China,700,0,2016
Hong Kong China,800,0,2016
Hong Kong China,900,0,2016
Hong Kong China,1500,0,2016
Hong Kong China,1800,0,2016
Hong Kong China,2100,0,2016
Hong Kong China,2300,0,2016
Hong Kong China,2600,0,2016
Hong Kong China,3400,0,2016
Hong Kong China,3600,0,2016
Hungary,700,0,2016
Hungary,800,0,2016
Hungary,900,0,2016
Hungary,1500,0,2016
Hungary,1800,0,2016
Hungary,2100,0,2016
Hungary,2300,0,2016
Hungary,2600,0,2016
Hungary,3400,0.008080096,2016
Hungary,3600,0.009268566,2016
Ireland,700,0,2016
Ireland,800,0,2016
Ireland,900,0,2016
Ireland,1500,0,2016
Ireland,1800,0,2016
Ireland,2100,0,2016
Ireland,2300,0,2016
Ireland,2600,0,2016
Ireland,3400,0,2016
Ireland,3600,0,2016
Israel,700,0,2016
Israel,800,0,2016
Israel,900,0,2016
Israel,1500,0,2016
Israel,1800,0,2016
Israel,2100,0,2016
Israel,2300,0,2016
Israel,2600,0,2016
Israel,3400,0,2016
Israel,3600,0,2016
Italy,700,0,2016
Italy,800,0,2016
Italy,900,0,2016
Italy,1500,0,2016
Italy,1800,0,2016
Italy,2100,0,2016
Italy,2300,0,2016
Italy,2600,0,2016
Italy,3400,0,2016
Italy,3600,0,2016
Jordan,700,0,2016
Jordan,800,0,2016
Jordan,900,0,2016
Jordan,1500,0,2016
Jordan,1800,0,2016
Jordan,2100,0,2016
Jordan,2300,0,2016
Jordan,2600,0,2016
Jordan,3400,0,2016
Jordan,3600,0,2016
Korea Rep.,700,0,2016
Korea Rep.,800,0,2016
Korea Rep.,900,0,2016
Korea Rep.,1500,0,2016
Korea Rep.,1800,0.524936679,2016
Korea Rep.,2100,0.444624859,2016
Korea Rep.,2300,0.552871225,2016
Korea Rep.,2600,0,2016
Korea Rep.,3400,0,2016
Korea Rep.,3600,0,2016
Kyrgyz Republic,700,0,2016
Kyrgyz Republic,800,0,2016
Kyrgyz Republic,900,0,2016
Kyrgyz Republic,1500,0,2016
Kyrgyz Republic,1800,0.165099927,2016
Kyrgyz Republic,2100,0,2016
Kyrgyz Republic,2300,0,2016
Kyrgyz Republic,2600,0,2016
Kyrgyz Republic,3400,0,2016
Kyrgyz Republic,3600,0,2016
Latvia,700,0,2016
Latvia,800,0,2016
Latvia,900,0,2016
Latvia,1500,0,2016
Latvia,1800,0,2016
Latvia,2100,0,2016
Latvia,2300,0,2016
Latvia,2600,0,2016
Latvia,3400,0,2016
Latvia,3600,0,2016
Lithuania,700,0,2016
Lithuania,800,0,2016
Lithuania,900,0.150019196,2016
Lithuania,1500,0,2016
Lithuania,1800,0,2016
Lithuania,2100,0,2016
Lithuania,2300,0,2016
Lithuania,2600,0,2016
Lithuania,3400,0,2016
Lithuania,3600,0,2016
Macedonia FYR,700,0,2016
Macedonia FYR,800,0,2016
Macedonia FYR,900,0,2016
Macedonia FYR,1500,0,2016
Macedonia FYR,1800,0,2016
Macedonia FYR,2100,0,2016
Macedonia FYR,2300,0,2016
Macedonia FYR,2600,0,2016
Macedonia FYR,3400,0,2016
Macedonia FYR,3600,0,2016
Malaysia,700,0,2016
Malaysia,800,0,2016
Malaysia,900,0,2016
Malaysia,1500,0,2016
Malaysia,1800,0,2016
Malaysia,2100,0,2016
Malaysia,2300,0,2016
Malaysia,2600,0,2016
Malaysia,3400,0,2016
Malaysia,3600,0,2016
Malta,700,0,2016
Malta,800,0,2016
Malta,900,0,2016
Malta,1500,0,2016
Malta,1800,0,2016
Malta,2100,0,2016
Malta,2300,0,2016
Malta,2600,0,2016
Malta,3400,0,2016
Malta,3600,0,2016
Moldova,700,0,2016
Moldova,800,0,2016
Moldova,900,0,2016
Moldova,1500,0,2016
Moldova,1800,0,2016
Moldova,2100,0,2016
Moldova,2300,0,2016
Moldova,2600,0,2016
Moldova,3400,0,2016
Moldova,3600,0,2016
Morocco,700,0,2016
Morocco,800,0,2016
Morocco,900,0,2016
Morocco,1500,0,2016
Morocco,1800,0,2016
Morocco,2100,0,2016
Morocco,2300,0,2016
Morocco,2600,0,2016
Morocco,3400,0,2016
Morocco,3600,0,2016
Mozambique,700,0,2016
Mozambique,800,0,2016
Mozambique,900,0,2016
Mozambique,1500,0,2016
Mozambique,1800,0,2016
Mozambique,2100,0,2016
Mozambique,2300,0,2016
Mozambique,2600,0,2016
